college,section,seats,instructor
Pitt Community College,SAB-110-03IN,5,"Moore, C"
Pitt Community College,SAB-120-02IN,8,"Herrington, C"
Pitt Community College,SAB-125-01IN,5,"Herrington, C"
Pitt Community College,SAB-135-01IN,6,"Peralta, A"
Pitt Community College,SAB-210-01IN,6,"Peralta, A"
Pitt Community College,SAB-240-01IN,13,"Lewis, N"
Pitt Community College,SEC-110-02IN,16,"Godwin, C"
Pitt Community College,SEC-150-01IN,3,"Jeansonne, J"
Pitt Community College,SEC-151-01IN,3,"Jeansonne, J"
Pitt Community College,SGD-111-01IN,1,"Bivans, T"
Pitt Community College,SGD-112-03IN,6,"Murray, B"
Pitt Community College,SGD-112-04IN,0,"Bivans, T"
Pitt Community College,SGD-116-01IN,2,"Murray, B"
Pitt Community College,SGD-214-02IN,12,"Murray, B"
Pitt Community College,SOC-210-01IN,1,"Gaither, P"
Pitt Community College,SOC-210-02IN,1,"Smith, C"
Pitt Community College,SOC-210-03IN,1,"Gaither, P"
Pitt Community College,SOC-210-04IN,3,"Gaither, P"
Pitt Community College,SOC-210-05IN,2,"Gaither, P"
Pitt Community College,SOC-210-07IN,1,"Stanton, R"
Pitt Community College,SOC-210-08IN,0,"Gingras, H"
Pitt Community College,SOC-210-09IN,3,"Gaither, P"
Pitt Community College,SOC-210-11IN,2,"Gaither, P"
Pitt Community College,SOC-210-12IN,2,"Ceres, S"
Pitt Community College,SOC-210-13IN,3,"Marriner, K"
Pitt Community College,SOC-210-JPIN,0,"Marriner, K"
Pitt Community College,SOC-213-01IN,4,"Marriner, K"
Pitt Community College,SOC-213-02IN,6,"Marriner, K"
Pitt Community College,SOC-213-03IN,0,"Marriner, K"
Pitt Community College,SOC-213-04IN,3,"Marriner, K"
Pitt Community College,SOC-213-05IN,9,"Marriner, K"
Pitt Community College,SOC-213-06IN,12,"Marriner, K"
Pitt Community College,SOC-213-07IN,11,"Smith, C"
Pitt Community College,SOC-213-08IN,5,"Marriner, K"
Pitt Community College,SON-111-01IN,0,"Manning-Moore, A"
Pitt Community College,SON-225-01IN,2,"Costanzo, H"
Pitt Community College,SON-225-02IN,2,"Weber, A"
Pitt Community College,SON-241-01IN,2,"Speight, K"
Pitt Community College,SPA-111-04IN,2,"Irwin, A"
Pitt Community College,SPA-111-07IN,1,"Jones, F"
Pitt Community College,SPA-111-10IN,2,"Jones, F"
Pitt Community College,SPA-111-11IN,4,"Jones, F"
Pitt Community College,SPA-111-12IN,4,"Jones, F"
Pitt Community College,SPA-111-20IN,2,"Jimenez-Leary, A"
Pitt Community College,SPA-111-21IN,0,"Jimenez-Leary, A"
Pitt Community College,SPA-111-22IN,2,"Jimenez-Leary, A"
Pitt Community College,SPA-111-23IN,2,"Jimenez-Leary, A"
Pitt Community College,SPA-111-24IN,1,"Jimenez-Leary, A"
Pitt Community College,SPA-111-25IN,1,"Irwin, A"
Pitt Community College,SPA-112-01IN,2,"Jones, F"
Pitt Community College,SPA-112-04IN,7,"Jones, F"
Pitt Community College,SPA-211-20IN,17,"Jimenez-Leary, A"
Pitt Community College,SST-140-02IN,0,"Hofler, W"
Pitt Community College,SWK-110-02IN,1,"Desoto, R"
Pitt Community College,WBL-115-03IN,9,"Leggett, T"
Pitt Community College,WBL-115-42IN,5,"Civils, L"
Pitt Community College,WBL-115-43IN,7,"Herrington, C"
Pitt Community College,WBL-125-03IN,9,"Leggett, T"
Pitt Community College,WBL-125-43IN,7,"Herrington, C"
Pitt Community College,WEB-210-01IN,10,"Cotnam, S"
Pitt Community College,WEB-215-01IN,9,"Cotnam, S"
Pitt Community College,WEB-250-01IN,14,"Cotnam, S"
Pitt Community College,BIO-155-01IN,3,"Needham, S"
Pitt Community College,BIO-161-01IN,12,"Clift, L"
Pitt Community College,BIO-163-01IN,6,"Needham, S"
Pitt Community College,BIO-163-03IN,4,"Needham, S"
Pitt Community College,BIO-163-04IN,5,"Arno, J"
Pitt Community College,BIO-163-05IN,6,"Arno, J"
Pitt Community College,BIO-163-06IN,5,"Needham, S"
Pitt Community College,BIO-163-09IN,4,"Needham, S"
Pitt Community College,BIO-163-81IN,3,"Augustino, K"
Pitt Community College,BIO-168-02IN,6,"Hollis, S"
Pitt Community College,BIO-168-03IN,2,"Augustino, K"
Pitt Community College,BIO-168-04IN,3,"Clift, R"
Pitt Community College,BIO-168-05IN,7,"Clift, R"
Pitt Community College,BIO-168-06IN,4,"Augustino, K"
Pitt Community College,BIO-168-07IN,6,"Augustino, K"
Pitt Community College,BIO-168-08IN,4,"McGee, L"
Pitt Community College,BIO-168-09IN,5,"Clift, R"
Pitt Community College,BIO-168-10IN,6,"McGee, L"
Pitt Community College,BIO-168-11IN,4,"McGee, L"
Pitt Community College,BIO-168-12IN,13,"Buck, J"
Pitt Community College,BIO-168-13IN,11,"Buck, J"
Pitt Community College,BIO-168-15IN,5,"Moss, J"
Pitt Community College,BIO-168-19IN,18,"Clift, R"
Pitt Community College,BIO-168-81IN,11,"Moss, J"
Pitt Community College,BIO-168-82IN,14,"Devine, J"
Pitt Community College,BIO-169-01IN,6,"Kenny, B"
Pitt Community College,BIO-169-02IN,4,"Hollis, S"
Pitt Community College,BIO-169-03IN,7,"Kenny, B"
Pitt Community College,BIO-169-04IN,4,"Hollis, S"
Pitt Community College,BIO-169-05IN,6,"Hollis, S"
Pitt Community College,BIO-169-81IN,15,"Kenny, B"
Pitt Community College,BIO-169-82IN,8,"Hollis, S"
Pitt Community College,BPR-111-01IN,0,"Jones, C"
Pitt Community College,BPR-111-03IN,1,"Jones, C"
Pitt Community College,BPR-111-04IN,0,"Lewis, O"
Pitt Community College,BPR-121-01IN,10,"Filmore, W"
Pitt Community College,BPR-121-05IN,3,"Pollock, D"
Pitt Community College,BTC-150-01IN,4,"Weeks, C"
Pitt Community College,BTC-181-01IN,2,"Weeks, C"
Pitt Community College,BTC-250-01IN,3,"Weeks, C"
Pitt Community College,BUS-110-08IN,2,"Taunton, J"
Pitt Community College,BUS-110-09IN,0,"Johnston, K"
Pitt Community College,BUS-110-10IN,1,"Saint-Ulysse, B"
Pitt Community College,BUS-110-11IN,1,"Saint-Ulysse, B"
Pitt Community College,BUS-110-12IN,7,"Johnston, K"
Pitt Community College,BUS-110-14IN,6,"Wadford, A"
Pitt Community College,BUS-110-61IN,8,"Gay, F"
Pitt Community College,BUS-110-62IN,0,"Wadford, A"
Pitt Community College,BUS-110-65IN,8,"Saint-Ulysse, B"
Pitt Community College,BUS-115-05IN,8,"Entzminger, P"
Pitt Community College,BUS-115-06IN,5,"Entzminger, P"
Pitt Community College,BUS-115-07IN,10,"Entzminger, P"
Pitt Community College,BUS-115-09IN,13,"Webb, T"
Pitt Community College,BUS-115-62IN,5,"Entzminger, D"
Pitt Community College,BUS-121-02IN,0,"Griffin, L"
Pitt Community College,BUS-121-03IN,4,"Griffin, L"
Pitt Community College,BUS-137-04IN,4,"Taunton, J"
Pitt Community College,BUS-137-05IN,3,"Hildebrand, D"
Pitt Community College,BUS-137-06IN,6,"Hildebrand, D"
Pitt Community College,BUS-137-60IN,6,"Gay, F"
Pitt Community College,BUS-137-61IN,6,"Gay, F"
Pitt Community College,BUS-137-63IN,10,"Gay, F"
Pitt Community College,BUS-151-03IN,3,"Saint-Ulysse, B"
Pitt Community College,BUS-151-04IN,1,"Saint-Ulysse, B"
Pitt Community College,BUS-151-60IN,2,"Johnston, K"
Pitt Community College,BUS-151-61IN,5,"Moody, K"
Pitt Community College,BUS-151-62IN,3,"Moody, K"
Pitt Community College,BUS-151-63IN,14,"Moody, K"
Pitt Community College,BUS-153-02IN,1,"Taunton, J"
Pitt Community College,BUS-153-03IN,6,"Moody, K"
Pitt Community College,BUS-153-04IN,1,"Wadford, A"
Pitt Community College,BUS-217-01IN,0,"Rhem, D"
Pitt Community College,BUS-217-02IN,8,"Moody, K"
Pitt Community College,BUS-225-02IN,2,"Rhem, D"
Pitt Community College,BUS-225-03IN,10,"Rhem, D"
Pitt Community College,BUS-230-02IN,17,"Taunton, J"
Pitt Community College,BUS-234-01IN,5,"Rhem, D"
Pitt Community College,BUS-238-02IN,0,"Rhem, D"
Pitt Community College,BUS-240-02IN,1,"Hildebrand, D"
Pitt Community College,BUS-240-03IN,2,"Hildebrand, D"
Pitt Community College,BUS-256-01IN,0,"Rhem, D"
Pitt Community College,BUS-258-01IN,0,"Mozingo, K"
Pitt Community College,BUS-260-01IN,3,"Worthington, K"
Pitt Community College,CAT-210-01IH,6,"Clinefelter, C"
Pitt Community College,CAT-211-01IH,6,"Clinefelter, C"
Pitt Community College,CET-111C-01IN,0,"Tyndall, P"
Pitt Community College,CET-111L-01IN,2,"Tyndall, P"
Pitt Community College,CHM-130-81IN,12,"Pearce, K"
Pitt Community College,CHM-130A-81IN,12,"Pearce, K"
Pitt Community College,CHM-131-01IN,7,"Karaivanova, V"
Pitt Community College,CHM-131-02IN,10,"Karaivanova, V"
Pitt Community College,CHM-131-03IN,14,"Karaivanova, V"
Pitt Community College,CHM-131-04IN,3,"Pearce, K"
Pitt Community College,CHM-131A-01IN,7,"Karaivanova, V"
Pitt Community College,CHM-131A-02IN,10,"Karaivanova, V"
Pitt Community College,CHM-131A-03IN,14,"Karaivanova, V"
Pitt Community College,CHM-131A-04IN,3,"Pearce, K"
Pitt Community College,CHM-131A-05IN,16,"Pearce, K"
Pitt Community College,CIS-110-11IN,4,"Smith, C"
Pitt Community College,CIS-110-12IN,6,"Sypawka, W"
Pitt Community College,CIS-110-13IN,4,"Pritchard, Y"
Pitt Community College,CIS-110-14IN,1,"Mozingo, S"
Pitt Community College,CIS-110-15IN,2,"Garner, A"
Pitt Community College,CIS-110-16IN,5,"Garner, A"
Pitt Community College,CIS-110-17IN,7,"Mobley, J"
Pitt Community College,CIS-110-18IN,8,"Mozingo, S"
Pitt Community College,CIS-110-19IN,4,"Pritchard, Y"
Pitt Community College,CIS-110-20IN,3,"Whitfield, D"
Pitt Community College,CIS-110-21IN,4,"Smith, C"
Pitt Community College,CIS-110-22IN,12,"Mobley, J"
Pitt Community College,CIS-110-64IN,16,"Smith, C"
Pitt Community College,CIS-110-65IN,0,"Smith, C"
Pitt Community College,CIS-110-66IN,0,
Pitt Community College,CIS-110-67IN,0,
Pitt Community College,CIS-110-68IN,0,
Pitt Community College,CIS-111-01IN,9,"Smith, C"
Pitt Community College,CJC-111-04IN,6,"Joyner, S"
Pitt Community College,CJC-111-05IN,11,"Ellis, D"
Pitt Community College,CJC-111-09IN,5,"Joyner, S"
Pitt Community College,CJC-111-10IN,8,"Harrison, C"
Pitt Community College,CJC-112-02IN,8,"Ellis, D"
Pitt Community College,CJC-112-04IN,16,"Ellis, D"
Pitt Community College,CJC-113-01IN,2,"Joyner, S"
Pitt Community College,CJC-113-05IN,11,"Joyner, S"
Pitt Community College,CJC-114-02IN,1,"Harrison, C"
Pitt Community College,CJC-114-03IN,6,"Harrison, C"
Pitt Community College,CJC-120-02IN,9,"Harrison, C"
Pitt Community College,CJC-121-03IN,4,"Nicholson, M"
Pitt Community College,CJC-121-06IN,8,"Nicholson, M"
Pitt Community College,CJC-122-01IN,5,"Harrison, C"
Pitt Community College,CJC-131-02IN,4,"Joyner, S"
Pitt Community College,CJC-131-06IN,9,"Ellis, D"
Pitt Community College,CJC-141-02IN,1,"Joyner, S"
Pitt Community College,CJC-141-03IN,3,"Ellis, D"
Pitt Community College,CJC-160-02IN,8,"Nicholson, M"
Pitt Community College,CJC-211-02IN,9,"Ellis, D"
Pitt Community College,CJC-212-02IN,6,"Harrison, C"
Pitt Community College,CJC-212-03IN,6,"Harrison, C"
Pitt Community College,CJC-213-02IN,8,"Ellis, D"
Pitt Community College,CJC-214-02IN,10,"Ellis, D"
Pitt Community College,CJC-221-02IN,11,"Nicholson, M"
Pitt Community College,CJC-221-03IN,12,"Nicholson, M"
Pitt Community College,CJC-222-01IN,13,"Nicholson, M"
Pitt Community College,CJC-231-01IN,8,"Nicholson, M"
Pitt Community College,CJC-231-03IN,9,"Nicholson, M"
Pitt Community College,CJC-241-02IN,11,"Harrison, C"
Pitt Community College,CMT-210-02IN,2,"Powell, H"
Pitt Community College,CMT-210-03IN,1,"Powell, H"
Pitt Community College,COM-110-01IN,3,"Matthews, J"
Pitt Community College,COM-110-02IN,2,"Matthews, J"
Pitt Community College,COM-110-03IN,6,"Matthews, J"
Pitt Community College,COM-110-10IN,3,"Matthews, J"
Pitt Community College,COM-110-11IN,7,"Matthews, J"
Pitt Community College,COM-110-30IN,22,"Matthews, J"
Pitt Community College,COM-120-02IN,1,"Simmons, A"
Pitt Community College,COM-120-03IN,0,"Simmons, A"
Pitt Community College,COM-120-04IN,0,"Simmons, A"
Pitt Community College,COM-120-10IN,0,"Goodman, J"
Pitt Community College,COM-120-15IN,2,"Howard, C"
Pitt Community College,COM-120-20IN,1,"Howard, C"
Pitt Community College,COM-120-21IN,1,"Howard, C"
Pitt Community College,COM-120-22IN,1,"Goodman, J"
Pitt Community College,COM-120-23IN,0,"Pastor, C"
Pitt Community College,COM-120-24IN,3,"Pastor, C"
Pitt Community College,COM-120-30IN,4,"Morrisey, M"
Pitt Community College,COM-120-35IN,0,"Howard, C"
Pitt Community College,COM-120-36IN,0,"Morrisey, M"
Pitt Community College,COM-120-37IN,0,"Howard, C"
Pitt Community College,COM-120-38IN,12,"Goodman, J"
Pitt Community College,COM-120-39IN,13,"Goodman, J"
Pitt Community College,COM-140-01IN,5,"Jones, K"
Pitt Community College,COM-140-02IN,10,"Jones, K"
Pitt Community College,COM-231-05IN,0,"Howard, C"
Pitt Community College,COM-231-06CH,1,"Goodman, J"
Pitt Community College,COM-231-07CH,0,"Gray, A"
Pitt Community College,COM-231-08IN,1,"Goodman, J"
Pitt Community College,COM-231-09CH,1,"Goodman, J"
Pitt Community College,COM-231-10IN,2,"Howard, C"
Pitt Community College,COM-231-22IN,5,"Stone, M"
Pitt Community College,COM-231-30IN,0,"Holsten, A"
Pitt Community College,COM-231-32IN,2,"Holsten, A"
Pitt Community College,COM-231-36IN,0,"Holsten, A"
Pitt Community College,COM-231-50IN,1,"Catalano, M"
Pitt Community College,COM-231-51IN,5,"Butts, M"
Pitt Community College,COM-231-52IN,5,"Butts, M"
Pitt Community College,COM-231-54IN,0,"Jones, K"
Pitt Community College,COM-231-55IN,9,"Jones, K"
Pitt Community College,COM-231-56IN,11,"Catalano, M"
Pitt Community College,COM-231-57IN,2,"Howard, C"
Pitt Community College,COM-231-58IN,12,"Stone, M"
Pitt Community College,COM-231-60IN,2,"Logemann, A"
Pitt Community College,COM-231-61IN,0,"Umphlett, C"
Pitt Community College,COM-231-80IN,0,"Logemann, A"
Pitt Community College,CSC-118-01IN,1,"Bivans, T"
Pitt Community College,CSC-120-01IN,5,"Sypawka, W"
Pitt Community College,CSC-121-01IN,2,"Armwood, T"
Pitt Community College,CSC-121-02IN,6,"Armwood, T"
Pitt Community College,CSC-151-01IN,2,"Sypawka, W"
Pitt Community College,CSC-151-02IN,1,"Sypawka, W"
Pitt Community College,CSC-253-01IN,10,"Armwood, T"
Pitt Community College,CTI-110-03IN,1,"Mozingo, S"
Pitt Community College,CTI-110-04IN,0,"Cotnam, S"
Pitt Community College,CTI-110-05IN,7,"Cotnam, S"
Pitt Community College,CTI-120-03IN,4,"Allen, S"
Pitt Community College,CTI-120-04IN,3,"Mobley, J"
Pitt Community College,CTI-120-05IN,1,"Jeansonne, J"
Pitt Community College,CTI-140-01IN,11,"Garner, A"
Pitt Community College,CTI-175-01IN,3,"Sanders, R"
Pitt Community College,CTS-115-02IN,2,"Garner, A"
Pitt Community College,CTS-115-03IN,0,"Pritchard, Y"
Pitt Community College,CTS-130-02IN,3,"Huggins, M"
Pitt Community College,CTS-130-03IN,0,"Huggins, M"
Pitt Community College,CTS-130-04IN,2,"Huggins, M"
Pitt Community College,CTS-155-01IN,10,"Garner, A"
Pitt Community College,CTS-220-01IN,6,"Pritchard, Y"
Pitt Community College,CTS-285-01IN,6,"Armwood, T"
Pitt Community College,CTS-288-01IN,1,"Robison, G"
Pitt Community College,CTS-288-02IN,10,"Robison, G"
Pitt Community College,DBA-120-01IN,6,"Whitfield, D"
Pitt Community College,DFT-153-01IN,7,"Godwin, D"
Pitt Community College,DOS-210-01IN,0,"Albertson, H"
Pitt Community College,DOS-220-01IN,0,"Albertson, H"
Pitt Community College,DOS-230-01IN,0,"Albertson, H"
Pitt Community College,DOS-270-01IN,0,"Albertson, H"
Pitt Community College,ECO-251-07IN,3,"Griffin, C"
Pitt Community College,ECO-251-08IN,1,"Ambrose, A"
Pitt Community College,ECO-251-09IN,11,"Ambrose, A"
Pitt Community College,ECO-251-10IN,11,"Griffin, C"
Pitt Community College,ECO-251-11IN,10,"Griffin, C"
Pitt Community College,ECO-251-12IN,9,"Griffin, C"
Pitt Community College,ECO-251-13IN,16,"Griffin, C"
Pitt Community College,ECO-252-03IN,3,"Glover, J"
Pitt Community College,ECO-252-04IN,2,"Glover, J"
Pitt Community College,ECO-252-05IN,3,"Glover, J"
Pitt Community College,EDU-119-02IN,8,"Brinkley, M"
Pitt Community College,EDU-119-03IN,4,"Brinkley, M"
Pitt Community College,EDU-119-04IN,2,"Brinkley, M"
Pitt Community College,EDU-119-06IN,3,"Dunn, M"
Pitt Community College,EDU-131-01IN,0,"Rees, M"
Pitt Community College,EDU-144-02IN,1,"Dunn, M"
Pitt Community College,EDU-144-04IN,9,"Powers, L"
Pitt Community College,EDU-145-01IN,4,"Dunn, M"
Pitt Community College,EDU-145-03IN,5,"Dunn, M"
Pitt Community College,EDU-146-02IN,7,"Rees, M"
Pitt Community College,EDU-151-02IN,6,"Whited, J"
Pitt Community College,EDU-151A-02IN,5,"Whited, J"
Pitt Community College,EDU-153-02IN,4,"Brinkley, M"
Pitt Community College,EDU-221-02IN,5,"Powers, L"
Pitt Community College,EDU-234-01IN,2,"Dunn, M"
Pitt Community College,EDU-251-02IN,13,"Brinkley, M"
Pitt Community College,EDU-261-01IN,11,"Byrd, L"
Pitt Community College,EDU-262-02IN,12,"Rees, M"
Pitt Community College,EDU-280-01IN,1,"Brinkley, M"
Pitt Community College,EGR-120C-01IN,7,"Mabry, G"
Pitt Community College,EGR-125-02IN,2,"Stephenson, A"
Pitt Community College,ELC-111C-01IN,5,"Pollock, D"
Pitt Community College,ELC-118-01IN,4,"Strickland, J"
Pitt Community College,ELC-128C-01IN,0,"Tyndall, P"
Pitt Community College,ELC-131C-01IN,6,"Whitlock, S"
Pitt Community College,ELC-131L-01IN,2,"Whitlock, S, Tyndall, P"
Pitt Community College,ELN-133C-01IN,10,"Whitlock, S"
Pitt Community College,ELN-133L-01IN,1,"Whitlock, S, Tyndall, P"
Pitt Community College,ELN-234-01IN,6,"Tyndall, P"
Pitt Community College,ENG-002-02IN,7,"Leigh, J"
Pitt Community College,ENG-002-03IN,8,"Leigh, J"
Pitt Community College,ENG-002-04IN,5,"Collins, S"
Pitt Community College,ENG-002-05IN,5,"Collins, S"
Pitt Community College,ENG-002-06IN,8,"Bruton, G"
Pitt Community College,ENG-002-07IN,9,"Bruton, G"
Pitt Community College,ENG-002-13IN,1,"Franklin, E"
Pitt Community College,ENG-002-14IN,3,"Franklin, E"
Pitt Community College,ENG-002-15IN,2,"Franklin, E"
Pitt Community College,ENG-002-16IN,7,"Leigh, J"
Pitt Community College,ENG-002-17IN,1,"Franklin, E"
Pitt Community College,ENG-011-CR55,1,"Vick, N"
Pitt Community College,ENG-011-CR56,4,"Stone, S"
Pitt Community College,ENG-011-CR57,4,"Stone, S"
Pitt Community College,ENG-011-CR58,4,"Stone, S"
Pitt Community College,ENG-011-CR59,2,"White, C"
Pitt Community College,ENG-011-CR60,1,"White, C"
Pitt Community College,ENG-011-CR61,2,"White, C"
Pitt Community College,ENG-011-CR62,2,"Garcia, R"
Pitt Community College,ENG-011-CR63,1,"Garcia, R"
Pitt Community College,ENG-011-CR64,0,"White, C"
Pitt Community College,ENG-011-CR65,3,"Johnson, S"
Pitt Community College,ENG-011-CR66,1,"Fisher, V"
Pitt Community College,ENG-011-CR67,4,"Fisher, V"
Pitt Community College,ENG-011-CR68,1,"Thomas, V"
Pitt Community College,ENG-011-CR85,4,"Juchniewicz, J"
Pitt Community College,ENG-111-02IN,1,"Temple, S"
Pitt Community College,ENG-111-03IN,1,"Temple, S"
Pitt Community College,ENG-111-04IN,7,"Clark, J"
Pitt Community College,ENG-111-06IN,0,"Wooten, R"
Pitt Community College,ENG-111-07IN,6,"Morrisey, M"
Pitt Community College,ENG-111-08IN,13,"Nelson, R"
Pitt Community College,ENG-111-11IN,1,"Westerman, S"
Pitt Community College,ENG-111-12IN,6,"Nelson, R"
Pitt Community College,ENG-111-13IN,4,"Westerman, S"
Pitt Community College,ENG-111-14IN,2,"Nelson, R"
Pitt Community College,ENG-111-15IN,2,"Garcia, R"
Pitt Community College,ENG-111-16IN,6,"Kitchin, A"
Pitt Community College,ENG-111-17IN,3,"Bates, C"
Pitt Community College,ENG-111-18IN,2,"Kitchin, A"
Pitt Community College,ENG-111-20IN,2,"Bates, C"
Pitt Community College,ENG-111-21IN,3,"Kitchin, A"
Pitt Community College,ENG-111-22IN,5,"Turner, D"
Pitt Community College,ENG-111-23IN,3,"Nelson, R"
Pitt Community College,ENG-111-25IN,7,"Kitchin, A"
Pitt Community College,ENG-111-29IN,2,"Hasty, M"
Pitt Community College,ENG-111-30IN,0,"Garcia, R"
Pitt Community College,ENG-111-35IN,4,"Reynolds, C"
Pitt Community College,ENG-111-36IN,10,"Clark, J"
Pitt Community College,ENG-111-37IN,20,"Bates, C"
Pitt Community College,ENG-111-39IN,16,"Bates, C"
Pitt Community College,ENG-111-40IN,1,"Worthington, N"
Pitt Community College,ENG-111-41IN,18,"Clark, J"
Pitt Community College,ENG-111-42IN,2,"Worthington, N"
Pitt Community College,ENG-111-45IN,13,"Coltraine, L"
Pitt Community College,ENG-111-46IN,17,"Coltraine, L"
Pitt Community College,ENG-111-47IN,15,"Fagundus, J"
Pitt Community College,ENG-111-48IN,16,"Cloughley, D"
Pitt Community College,ENG-111-50IN,6,"Morrisey, M"
Pitt Community College,ENG-111-52IN,6,"Morgan, G"
Pitt Community College,ENG-111-56IN,2,"Stone, S"
Pitt Community College,ENG-111-57IN,1,"Stone, S"
Pitt Community College,ENG-111-58IN,2,"Stone, S"
Pitt Community College,ENG-111-59IN,3,"White, C"
Pitt Community College,ENG-111-60IN,3,"White, C"
Pitt Community College,ENG-111-61IN,3,"White, C"
Pitt Community College,ENG-111-62IN,0,"Garcia, R"
Pitt Community College,ENG-111-63IN,1,"Garcia, R"
Pitt Community College,ENG-111-64IN,3,"White, C"
Pitt Community College,ENG-111-68IN,1,"Thomas, V"
Pitt Community College,ENG-111-69IN,1,"Thomas, V"
Pitt Community College,ENG-111-81IN,15,"Keech, N"
Pitt Community College,ENG-111-85IN,3,"Juchniewicz, J"
Pitt Community College,ENG-111-93IN,17,"Scott, C"
Pitt Community College,ENG-111-CR55,1,"Vick, N"
Pitt Community College,ENG-111-CR56,4,"Stone, S"
Pitt Community College,ENG-111-CR57,4,"Stone, S"
Pitt Community College,ENG-111-CR58,4,"Stone, S"
Pitt Community College,ENG-111-CR59,2,"White, C"
Pitt Community College,ENG-111-CR60,1,"White, C"
Pitt Community College,ENG-111-CR61,2,"White, C"
Pitt Community College,ENG-111-CR62,2,"Garcia, R"
Pitt Community College,ENG-111-CR63,1,"Garcia, R"
Pitt Community College,ENG-111-CR64,0,"White, C"
Pitt Community College,ENG-111-CR65,3,"Johnson, S"
Pitt Community College,ENG-111-CR66,1,"Fisher, V"
Pitt Community College,ENG-111-CR67,4,"Fisher, V"
Pitt Community College,ENG-111-CR68,1,"Thomas, V"
Pitt Community College,ENG-111-CR85,4,"Juchniewicz, J"
Pitt Community College,ENG-112-02IN,1,"Westerman, S"
Pitt Community College,ENG-112-03IN,5,"Cranford, C"
Pitt Community College,ENG-112-04IN,1,"Reynolds, C"
Pitt Community College,ENG-112-05IN,1,"Thomsen, M"
Pitt Community College,ENG-112-07IN,0,"Reynolds, C"
Pitt Community College,ENG-112-08IN,1,"Reynolds, C"
Pitt Community College,ENG-112-09IN,1,"Turner, D"
Pitt Community College,ENG-112-10IN,2,"Thomsen, M"
Pitt Community College,ENG-112-25IN,4,"Stanford, D"
Pitt Community College,ENG-112-26IN,1,"Hasty, M"
Pitt Community College,ENG-112-27IN,9,"Stanford, D"
Pitt Community College,ENG-112-28IN,1,"Hasty, M"
Pitt Community College,ENG-112-29IN,3,"Hasty, M"
Pitt Community College,ENG-112-30IN,3,"Holsten, A"
Pitt Community College,ENG-112-39IN,0,"Garcia, R"
Pitt Community College,ENG-112-40IN,0,"Worthington, N"
Pitt Community College,ENG-112-50IN,2,"Temple, S"
Pitt Community College,ENG-112-51IN,5,"Cochran, S"
Pitt Community College,ENG-112-52IN,6,"Cranford, C"
Pitt Community College,ENG-112-53IN,14,"Morgan, G"
Pitt Community College,ENG-112-54IN,13,"Bates, C"
Pitt Community College,ENG-112-55IN,12,"Cochran, S"
Pitt Community College,ENG-112-56IN,12,"Fagundus, J"
Pitt Community College,ENG-112-57IN,12,"Cranford, C"
Pitt Community College,ENG-112-59IN,4,"Cranford, C"
Pitt Community College,ENG-112-60IN,13,"Wooten, R"
Pitt Community College,ENG-112-61IN,0,"Wooten, R"
Pitt Community College,ENG-112-63IN,13,"Fagundus, J"
Pitt Community College,ENG-112-64IN,12,"Temple, S"
Pitt Community College,ENG-112-71IN,0,"Worthington, N"
Pitt Community College,ENG-112-80IN,12,"Holsten, A"
Pitt Community College,ENG-112-93IN,14,"Coltraine, L"
Pitt Community College,ENG-231-02IN,0,"Clark, J"
Pitt Community College,ENG-231-03IN,7,"Clark, J"
Pitt Community College,ENG-231-10IN,0,"Hasty, M"
Pitt Community College,ENG-232-10IN,3,"Bates, C"
Pitt Community College,ENG-232-15IN,12,"Stanford, D"
Pitt Community College,ENG-241-02IN,7,"Holsten, A"
Pitt Community College,ENG-241-10IN,2,"Miller, T"
Pitt Community College,ENG-242-10IN,4,"Miller, T"
Pitt Community College,ETR-210-01IN,2,"Ashley, R"
Pitt Community College,ETR-210-02IN,4,"Ashley, R"
Pitt Community College,ETR-210-04IN,7,"Ashley, R"
Pitt Community College,ETR-220-03IN,14,"Ashley, R"
Pitt Community College,ETR-230-01IN,2,"Ashley, R"
Pitt Community College,ETR-230-03IN,16,"Ashley, R"
Pitt Community College,ETR-270-01IS,0,"Griffin, C"
Pitt Community College,FRE-111-03IN,9,"Deville, C"
Pitt Community College,FRE-111-04IN,14,"Deville, C"
Pitt Community College,FRE-112-02IN,22,"Deville, C"
Pitt Community College,FRE-211-02IN,15,"Deville, C"
Pitt Community College,GRD-110-03IN,2,"Jarrell, S"
Pitt Community College,GRD-110-06IN,3,"Jarrell, S"
Pitt Community College,GRD-141-03IN,2,"Willard, E"
Pitt Community College,GRD-151-03IN,1,"Sanders, A"
Pitt Community College,GRD-152-01IN,5,"West, M"
Pitt Community College,GRD-156-03IN,1,"Chapman, B"
Pitt Community College,GRO-120-02IN,3,"Leggett, T"
Pitt Community College,GRO-120-03IN,7,"Leggett, T"
Pitt Community College,GRO-150-01IN,4,"Leggett, T"
Pitt Community College,GRO-230-01IN,11,"Leggett, T"
Pitt Community College,GRO-250-01IN,12,"Leggett, T"
Pitt Community College,HEA-110-01IN,4,"Ramey, J"
Pitt Community College,HEA-110-02IN,0,"Owens, F"
Pitt Community College,HEA-110-03IN,7,"Coutouzis, N"
Pitt Community College,HEA-110-04IN,0,"Owens, F"
Pitt Community College,HEA-110-05IN,4,"Coutouzis, N"
Pitt Community College,HEA-110-06IN,1,"Ramey, J"
Pitt Community College,HEA-110-07IN,1,"Ramey, J"
