Column1,college,section,seats,instructor
97,Blue Ridge Community College,ENG-111-204L,2,"Weber Boss, E"
98,Blue Ridge Community College,ENG-111-205L,0,"Burris, J"
99,Blue Ridge Community College,ENG-111-206L,1,"Crews, B"
100,Blue Ridge Community College,ENG-111-401W,2,"Winkler, M"
101,Blue Ridge Community College,ENG-111-501W,12,"Winkler, M"
102,Blue Ridge Community College,ENG-112-201L,1,"Marsom, R"
103,Blue Ridge Community College,ENG-112-202L,3,"Crews, B"
104,Blue Ridge Community College,ENG-112-203L,0,"Crews, B"
105,Blue Ridge Community College,ENG-112-501W,4,"Winkler, M"
106,Blue Ridge Community College,ENG-114-201L,2,"Sonnier, S"
107,Blue Ridge Community College,ENG-114-202L,12,"Burris, J"
108,Blue Ridge Community College,ENG-241-201L,0,"Winkler, M"
109,Blue Ridge Community College,EPT-150-401W,21,"Freudenberg, J"
110,Blue Ridge Community College,FIP-120-401W,23,"Toms, B"
111,Blue Ridge Community College,FIP-124-501W,21,"Toms, B"
112,Blue Ridge Community College,FIP-128-201,21,"Rogers, W"
113,Blue Ridge Community College,FIP-146-401W,18,"Justus, S"
114,Blue Ridge Community College,FIP-230-201,19,"Coggins, M"
115,Blue Ridge Community College,FIP-276-501W,20,"Toms, B"
116,Blue Ridge Community College,FVP-114-201L,4,"Taylor, C"
117,Blue Ridge Community College,FVP-212-201L,15,"Taylor, C"
118,Blue Ridge Community College,FVP-221-201,17,"Taylor, C"
119,Blue Ridge Community College,GRD-151-201,20,"Ford, J"
120,Blue Ridge Community College,HEA-110-401W,5,"Baylor, L"
121,Blue Ridge Community College,HIS-111-201L,5,"Foster, D"
122,Blue Ridge Community College,HIS-131-201L,0,"Williams, J"
123,Blue Ridge Community College,HSC-110-201L,21,"Adams, R, Cooper, S"
124,Blue Ridge Community College,HSE-210-201L,20,"Craven, A"
125,Blue Ridge Community College,HUM-123-201L,7,"Foster, D"
126,Blue Ridge Community College,ISC-112-201L,17,"Fizer, M"
127,Blue Ridge Community College,LDR-110-201,6,"Kish, B"
128,Blue Ridge Community College,MAT-003-201,2,"Najafi, H"
129,Blue Ridge Community College,MAT-003-202,3,"Najafi, H"
130,Blue Ridge Community College,MAT-143-201L,7,"Nicholson, A"
131,Blue Ridge Community College,MAT-152-201L,0,"Martin, O"
132,Blue Ridge Community College,MAT-152-401W,5,"Martin, O"
133,Blue Ridge Community College,MAT-152-501W,4,"Martin, O"
134,Blue Ridge Community College,MAT-171-201L,4,"Norvell, J"
135,Blue Ridge Community College,MAT-171-202L,12,"Conn, T"
136,Blue Ridge Community College,MAT-172-201L,0,"Martin, O"
137,Blue Ridge Community College,MAT-172-301,4,"Martin, O"
138,Blue Ridge Community College,MAT-271-201L,10,"Blevins, D"
139,Blue Ridge Community College,MED-120-201L,16,"Adams, R"
140,Blue Ridge Community College,MKT-120-201L,5,"Hembree, K"
141,Blue Ridge Community College,MKT-120-501W,24,
142,Blue Ridge Community College,MKT-220-201,17,"Levy, G"
143,Blue Ridge Community College,MUS-110-201L,4,"Ayesh, K"
144,Blue Ridge Community College,NET-125-201,8,"Andrews, J"
145,Blue Ridge Community College,NET-225-201,20,"Andrews, J"
146,Blue Ridge Community College,NOS-120-201,11,"McFadden, C"
147,Blue Ridge Community College,NOS-130-201,6,"McFadden, C"
148,Blue Ridge Community College,OST-136-201L,8,"Capps, V"
149,Blue Ridge Community College,OST-141-201,17,"Owen, A"
150,Blue Ridge Community College,OST-164-201L,11,"Capps, V"
151,Blue Ridge Community College,OST-184-201L,10,"Garland, J"
152,Blue Ridge Community College,PED-110-201L,9,"Phillips, K"
153,Blue Ridge Community College,PED-110-501,18,"Phillips, K"
154,Blue Ridge Community College,PHI-240-201L,1,"Mason, D"
155,Blue Ridge Community College,PHI-240-202L,0,"Mason, D"
156,Blue Ridge Community College,PHI-240-203L,2,"Williamson, E"
157,Blue Ridge Community College,PHI-240-501,23,"Williamson, E"
158,Blue Ridge Community College,POL-120-201L,0,"Thompson, K"
159,Blue Ridge Community College,POL-130-201,9,"Thompson, K"
160,Blue Ridge Community College,PSY-150-201L,4,"House, M"
161,Blue Ridge Community College,PSY-150-202L,2,"House, M"
162,Blue Ridge Community College,PSY-150-203L,2,"DeWitt, D"
163,Blue Ridge Community College,PSY-150-401W,2,"DeWitt, D"
164,Blue Ridge Community College,PSY-150-501W,20,"Grabowski, J"
165,Blue Ridge Community College,PSY-281-201L,4,"House, M"
166,Blue Ridge Community College,REL-110-201L,2,"Williamson, E"
